name	location	kind	frame	typed_over	status	statement	note
ASection.c2_analyticAt	Concentricity/ASection.lean:83	field	ANALYTIC-SUPPORT	stem	def	∀ p z, Ω₀ < z.re → AnalyticAt ℂ (ℓ p) z — C2: members slice-regular on Ω₀.	
ASection.c2_zero_free	Concentricity/ASection.lean:85	field	ANALYTIC-SUPPORT	stem	def	∀ p z, Ω₀ < z.re → ℓ p z ≠ 0 — C2: each zero-free on Ω₀.	
ASection.c2_summable	Concentricity/ASection.lean:88	field	ANALYTIC-SUPPORT	stem	def	∀ z, Ω₀ < z.re → Summable (fun p => ℓ p z) — bare/unconditional Summable per the recon ruling.	
ASection.c2_locMajorant	Concentricity/ASection.lean:100	field	ANALYTIC-SUPPORT	stem	def	∀ z, Ω₀ < z.re → ∃ r > 0, ∃ summable u, ∀ p, ∀ w ∈ ball z r, ‖ℓ p w‖ ≤ u p — §4α locally-normal convergence of the Euler family.	§4α author-ruled transcription clarification 2026-07-04 (Titchmarsh register); class unchanged.
ASection.c3_R_entire	Concentricity/ASection.lean:119	field	ANALYTIC-SUPPORT	stem	def	Differentiable ℂ Rfac — C3: R entire at stem level.	
ASection.c3_g_entire	Concentricity/ASection.lean:129	field	ANALYTIC-SUPPORT	stem	def	Differentiable ℂ gfac — C3: g entire.	
ASection.c3_multipliable	Concentricity/ASection.lean:135	field	ANALYTIC-SUPPORT	stem	def	∀ z, Multipliable (fun n => spherePrimary (genus n) (sphereZero n) z) — bare/unconditional per recon ruling.	
ASection.c3_locMajorant	Concentricity/ASection.lean:140	field	ANALYTIC-SUPPORT	stem	def	∀ z ≠ pole, ∃ r > 0, ∃ summable u, ‖spherePrimary (genus n) (sphereZero n) w − 1‖ ≤ u n on ball z r — §4α locally-normal convergence of the product.	§4α clarification, AdF/prop:weierstrass register.
ASection.c3_lowerEdge	Concentricity/ASection.lean:154	field	ANALYTIC-SUPPORT	stem	def	∃ βlo : ℝ, ∀ k, βlo ≤ (sphereZero k).re — the divisor's real parts bounded below (L4 lower edge, C-1 fork ruling (β)).	CLARIFICATION-PENDING-DERIVATION; R9 price of deletion quoted verbatim; ζ instantiates via its strip (member-private).
ASection.zero_free_on_halfSpace	Concentricity/ASection.lean:207	theorem	ANALYTIC-SUPPORT	stem	proved	A.Ω₀ < z.re → A.F z ≠ 0 — C2's closing clause: A is zero-free on Ω₀ (exp never vanishes).	DERIVED register (R10).
